MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.45
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.475
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.515
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.52
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.475
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.47
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.57
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.585
6,3,5,4,5,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.58
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.555
5,1,7,4,5,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.455
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.555
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.45
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.525
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.48
7,2,4,6,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.44
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.465
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.53
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.47
5,6,2,5,2,11,2,4,6,4,3,1,6,1,8,8,4,9,4,6,0.485
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.55
5,8,8,9,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.605
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.495
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.48
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.485
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.445
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.47
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.55
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.485
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.545
6,11,5,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.575
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.47
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.43
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.515
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.515
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.565
